familiarize,慣らす、習熟させる
librarian,図書館員
cite,引用する、引き合いに出す、言及する
principle,原理、原則
screen,選別する
trademark,商標
inherit,引き継ぐ
phase,段階
inn,宿、ホテル
limitation,弱点
engage,参加する、従事する
custodian,管理人、守衛
specialize,専門にする
transit,輸送、通過
acknowledge,知らせる、認める
manuscript,原稿
equip,備え付ける、装備する
landmark,ランドマーク、目印、名所
expire,期限が切れる
logistics,物流
invert,逆にする
correspondent,特派員、通信員
enlarge,拡張する、増築する
overtime,残業／時間外に
lease,賃貸借（契約）／賃貸借する
pension,年金
discontinue,生産や販売の継続を止める
obstacle,障害
refrain,やめる、差し控える
consequence,結果
modify,修正する
premises,敷地
defective,欠陥のある、不良の
emphasis,強調、重点
dispose,処分する
athlete,スポーツ選手
recruit,採用する
utility,公共料金、公共サービス
interfere,妨害する
attorney,弁護士
quarterly,年に4回の、四半期ごとの／年に4回
transition,移行、転身
convert,改造する、変える
reorganization,組織再編
revolve,循環する、展開する
laundry,洗濯（物）
overwhelm,圧倒する
justification,正当化の理由、正当化
extended,長期の、長時間の
fixture,設備、備品
strive,努力する
suegery,手術
furnish,備え付ける
enthusiastic,熱心な、関心が高い、乗り気である
take on,引き受ける
harvest,収穫
sue,~を訴える
compartment,一区画
fold,折りたたむ
means,手段
absord,吸収する、理解する
outline,概要を説明する／概要
resign,辞職する
shareholder,株主
install,インストールする
patient,患者
condense,濃縮する、要約する、短縮する
belongings,所持品、所有物
attribute,起因すると考えられる、おかげであるとする
bid,入札／入札する
recall,思い出す、回収する
excursion,お出かけ、小旅行
impose,課す、負わせる、強制する
territory,担当地区、領地
grocery,食品雑貨の／食品雑貨
statue,像、彫像
sculpture,彫刻
contractor,請負業者、契約業者
itinerary,旅程表
manner,方法、やり方
directory,名簿、住所録
urban,都会の、都市の、都会での
assume,引き受ける、思い込む、仮定する
outlook,見通し、モノの見方
withstand,耐える
commitment,約束、献身
vendor,業者、露天商、販売店
overview,概要
detect,見つける、検知する
tuition,授業料
leak,漏れる
latter,後者
inhabit,住む
ownership,所有（権）、所有者であること
patron,愛用者、利用者
sentiment,意見、感想
transmit,伝達する
outlet,店舗、コンセント
compose,構成する、組織する
handful,少数、少量
motivate,やる気を与える、動機付けする
pastry,焼き菓子
concentrate,集中する
plumber,配管工
clarify,明らかにする、はっきりさせる
on behalf of,~を代表して
tackle,取り組む
listing,一覧
payroll,給与、給与管理、賃金台帳
characteristic,特徴／特徴的な
resist,耐性をもつ、抵抗する
sector,部門、分野
retain,保管する、持ち続ける
interval,間隔
disrupt,混乱させる
extent,大きさ、範囲、程度
lead to,もたらす
combined,共同の、連合の
distinguish,区別する
duration,継続期間
draw up,作成する
furnishings,家具、備品、調度品
questionnaire,アンケート
gathering,集会、集まり
subsidize,助成金を払う
associate,関連付ける／同僚、アシスタント／アシスタントの
accumulate,蓄積する、積み上げる
florist,花屋
compile,取りまとめる、編集する
technician,技師
strategy,戦略
quote,提示価格、引用
dispatch,派遣する
investment,投資
conclude,終わる、終える、結論を出す
dependence,依存
reverse,逆にする、くつがえす
lodging,宿泊所
dedicated,献身的な、専用の、特化した
consideration,検討、考慮、配慮
revitalize,活性化する
token,印
undertake,引き受ける
stain,染み、汚れ
assert,断言する、主張する
persistence,粘り強さ
exceptional,並外れた、非常に素晴らしい
remainder,残り、残存物
surpass,超える
partial,部分的な、一部の
diagnosis,診断
patronage,愛顧、後援
sidewalk,歩道
jouenal,専門誌
luncheon,昼食会
alliance,事業提携、提携関係
faculty,教授陣、学部
dealership,販売特約店
biography,伝記
array,大量、多数
obligation,義務
constraint,制約
household,家庭用の／家庭
structure,骨組み
cuisine,料理
garment,衣料品、衣服
conflict,対立、衝突
displeasure,不愉快、不満
precaution,予防策、予防措置
indicator,指標
circulation,発行部数、流通、（図書館の）貸出
veterinarian,獣医
maintenance,管理、維持
typically,通常、典型的に
digit,桁
entirety,全体、全部
projection,予測
restriction,制限
relevant,関連した
portfolio,作品集
compensation,報酬、補償
craftspeople,職人
detergent,洗剤
incentive,報酬、刺激
engagement,約束
recreation,休養、娯楽
accommodations,宿泊施設
comparable,同等の、匹敵する、類似の
patent,特許
terms,観点、条件、言葉
assortment,詰め合わせ、分類
subordinate,部下
destruction,破壊、倒壊
publicity,周知、注目
flexible,柔軟な、フレキシブルな
initiative,新しい計画、主導権
recognition,推薦、認識、評価
residence,住居
confines,範囲、制約
rainfall,降雨、雨量
blueprint,設計図、青写真
debut,デビュー
accessible,到達できる、利用できる
postage,郵便料金
moisture,湿気
morale,士気
paycheck,給料支払い小切手
acquaintance,知人、知識
