pursue,追及する、遂行する、続行する
blame,~のせいにする、非難する
supply,必需品／供給する
workforce,全従業員、労働力
enclose,同封する、囲む
require,要求する、義務付ける
policy,規定、方針
indicate,示す
register,登録する／レジ
impression,（心に残る）印象
arrange,手配する、並べる
struggle,奮闘する、もがく、苦心する
bill,請求書、紙幣／請求書を送る
employee,社員、従業員
approve,承認する、賛成する
fund,資金を与える
opportunity,機会、チャンス
additional,付加的な、追加の
deadline,締め切り、期限
shuttle,往復運転で運ぶ
corporate,企業の、法人の
depart,（~を）出発する
warranty,保証、保証書
sweep,掃く、掃除する
necessary,必要な
review,検討する、論評する／検討、論評
reserve,予約する、確保する／蓄え
appear,~のように見える、現れる
resident,住民、住人
offer,申し出る、提供する
create,創造する、作り出す
go over ~,~をじっくりと調べる
mention,述べる、言及する／言及
load,荷物を積む
appreciate,感謝する、高く評価する
production,生産、作品
replacement,交換、交換品、後任
favor,善意の行為／~の方を好む
significant,かなりの、大幅な、重要な
earn,得る、稼ぐ
employer,雇用主
fire,解雇する
valuable,貴重な
located,位置して
profitability,利益率、利益性
analyze,~を分析する
publication,出版物
commute,通勤する
customer,顧客、客
generous,気前のよい、寛大な
stock,株式、在庫（品）／（物）を蓄える
import,輸入する
information,情報、インフォメーション
detail,詳細／詳しく述べる
downtown,中心街の／中心街に［で］／中心街
attain,~を実現する、達成する
treat,~を取り扱う、処理する
direct,向ける、管理する、監督する
graduation,卒業（式）
relationship,関係（性）
emphasize,~を強調する
turn in,提出する、返却する
corporation,法人
repair,修理／修理する
regarding,~に関して
recover,取り戻す、回復する
article,記事、（契約書など）の条項、品物
contribution,貢献、寄付金
renovate,改装する、修理する
confess,告白する
prevent,防ぐ、阻む
increase,増加／増える、増やす
contain,含む、所有する
growth,成長、発展
considerable,（量や程度が）かなりの
update,更新する、改訂する
sign up for,申し込む
quantity,量、分量
reduction,減少、削減
regard,みなす、考える
delay,遅らせる、延期する
include,含む
remain,残る、そのままでいる
cost,費用がかかる（費用）
fix,を修理する、~を固定する
greet,挨拶する、出迎える
negotiate,交渉する、協議する
consider,考える、検討する
solve,~を解く、解決する
currently,現在は
pass out,配る
activity,活動、アクティビティー
consecutive,連続した
refuse,拒む、断る
print,活字体で書く
subject,科目、（議論などの）題目
authorize,公認する、権限を与える
assign,割り当てる、配属する
counsel,助言する、相談する
advertising,広告（業）、宣伝（活動）
reflect,映し出す、反射する
vacancy,空き室
achievement,成果、業績
stop by,立ち寄る
advise,助言する、意見する、忠告する
correctly,正しく、正確に
damage,損害／~に損害を与える
stack,積み重ねる
adjust,調整する
expect,予期する、予定する
appliance,電化製品
connect,接続する、つなぐ
improve,改善する
saving,節約、値引き
estimate,見積もり／~を見積もる
water,水をやる
prove,わかる、証明する
firm,会社
rank,位置する
attract,~をひきつける、魅了する
feedback,フィードバック、反応
pour,注ぐ
determine,決定する、決意する
profit,利益
analysis,分析
lay off,解雇する
hesitate,ためらう、躊躇する
client,顧客、クライアント、取引先
selection,選ぶこと、選択
attention,注意、留意
vote,投票する、票決する
feed,食べさせる、餌を与える
ladder,はしご
present,与える、提示する
object,反対する、異議を唱える
annual,年に1度の、毎年恒例の、年間の
retire,退職する、引退する
